result: freq 2412 rssi -03, noise -95, max_magnitude 0234 max_index 029 bitmap_weight 008 tsf 37158642117 | datamax = 8464, datamin = 9, datasquaresum = 81895
signal: -118.505302, pixels: 378130448, freq: 2416.296875, startfreq: 2350.000000, noise: -95, rssi: -3, data: 27, datasquaresum: 81895, highlight: 1 
signal: -120.688194, pixels: 378130448, freq: 2416.640625, startfreq: 2350.000000, noise: -95, rssi: -3, data: 21, datasquaresum: 81895, highlight: 1 
signal: -117.884613, pixels: 378130448, freq: 2416.984375, startfreq: 2350.000000, noise: -95, rssi: -3, data: 29, datasquaresum: 81895, highlight: 1 
signal: -120.688194, pixels: 378130448, freq: 2417.328125, startfreq: 2350.000000, noise: -95, rssi: -3, data: 21, datasquaresum: 81895, highlight: 1 
signal: -121.111977, pixels: 378130448, freq: 2417.671875, startfreq: 2350.000000, noise: -95, rssi: -3, data: 20, datasquaresum: 81895, highlight: 1 
signal: -120.284126, pixels: 378130448, freq: 2418.015625, startfreq: 2350.000000, noise: -95, rssi: -3, data: 22, datasquaresum: 81895, highlight: 1 
signal: -128.047729, pixels: 378130448, freq: 2418.359375, startfreq: 2350.000000, noise: -95, rssi: -3, data: 9, datasquaresum: 81895, highlight: 1 
signal: -122.523598, pixels: 378130448, freq: 2418.703125, startfreq: 2350.000000, noise: -95, rssi: -3, data: 17, datasquaresum: 81895, highlight: 1 
signal: -118.833107, pixels: 378130448, freq: 2419.046875, startfreq: 2350.000000, noise: -95, rssi: -3, data: 26, datasquaresum: 81895, highlight: 1 
signal: -116.502998, pixels: 378130448, freq: 2419.390625, startfreq: 2350.000000, noise: -95, rssi: -3, data: 34, datasquaresum: 81895, highlight: 1 
signal: -137.590149, pixels: 378130448, freq: 2419.734375, startfreq: 2350.000000, noise: -95, rssi: -3, data: 3, datasquaresum: 81895, highlight: 1 
signal: -120.688194, pixels: 378130448, freq: 2420.078125, startfreq: 2350.000000, noise: -95, rssi: -3, data: 21, datasquaresum: 81895, highlight: 1 
signal: -123.050179, pixels: 378130448, freq: 2420.421875, startfreq: 2350.000000, noise: -95, rssi: -3, data: 16, datasquaresum: 81895, highlight: 1 
signal: -128.047729, pixels: 378130448, freq: 2420.765625, startfreq: 2350.000000, noise: -95, rssi: -3, data: 9, datasquaresum: 81895, highlight: 1 
signal: -116.251213, pixels: 378130448, freq: 2421.109375, startfreq: 2350.000000, noise: -95, rssi: -3, data: 35, datasquaresum: 81895, highlight: 1 
