result: freq 2412 rssi 039, noise -95, max_magnitude 0842 max_index 001 bitmap_weight 002 tsf 372478835159 | datamax = 705600, datamin = 576, datasquaresum = 876576
signal: -86.484734, pixels: 745783312, freq: 2416.296875, startfreq: 2350.000000, noise: -95, rssi: 39, data: 28, datasquaresum: 876576, highlight: 1 
signal: -87.823669, pixels: 745783312, freq: 2416.640625, startfreq: 2350.000000, noise: -95, rssi: 39, data: 24, datasquaresum: 876576, highlight: 1 
signal: -87.823669, pixels: 745783312, freq: 2416.984375, startfreq: 2350.000000, noise: -95, rssi: 39, data: 24, datasquaresum: 876576, highlight: 1 
signal: -86.484734, pixels: 745783312, freq: 2417.328125, startfreq: 2350.000000, noise: -95, rssi: 39, data: 28, datasquaresum: 876576, highlight: 1 
signal: -86.484734, pixels: 745783312, freq: 2417.671875, startfreq: 2350.000000, noise: -95, rssi: 39, data: 28, datasquaresum: 876576, highlight: 1 
signal: -87.823669, pixels: 745783312, freq: 2418.015625, startfreq: 2350.000000, noise: -95, rssi: 39, data: 24, datasquaresum: 876576, highlight: 1 
signal: -87.823669, pixels: 745783312, freq: 2418.359375, startfreq: 2350.000000, noise: -95, rssi: 39, data: 24, datasquaresum: 876576, highlight: 1 
signal: -87.823669, pixels: 745783312, freq: 2418.703125, startfreq: 2350.000000, noise: -95, rssi: 39, data: 24, datasquaresum: 876576, highlight: 1 
signal: -87.823669, pixels: 745783312, freq: 2419.046875, startfreq: 2350.000000, noise: -95, rssi: 39, data: 24, datasquaresum: 876576, highlight: 1 
signal: -85.324898, pixels: 745783312, freq: 2419.390625, startfreq: 2350.000000, noise: -95, rssi: 39, data: 32, datasquaresum: 876576, highlight: 1 
signal: -86.484734, pixels: 745783312, freq: 2419.734375, startfreq: 2350.000000, noise: -95, rssi: 39, data: 28, datasquaresum: 876576, highlight: 1 
signal: -87.823669, pixels: 745783312, freq: 2420.078125, startfreq: 2350.000000, noise: -95, rssi: 39, data: 24, datasquaresum: 876576, highlight: 1 
signal: -86.484734, pixels: 745783312, freq: 2420.421875, startfreq: 2350.000000, noise: -95, rssi: 39, data: 28, datasquaresum: 876576, highlight: 1 
signal: -87.823669, pixels: 745783312, freq: 2420.765625, startfreq: 2350.000000, noise: -95, rssi: 39, data: 24, datasquaresum: 876576, highlight: 1 
signal: -86.484734, pixels: 745783312, freq: 2421.109375, startfreq: 2350.000000, noise: -95, rssi: 39, data: 28, datasquaresum: 876576, highlight: 1 
signal: -86.484734, pixels: 745783312, freq: 2421.453125, startfreq: 2350.000000, noise: -95, rssi: 39, data: 28, datasquaresum: 876576, highlight: 1 
signal: -127.230629, pixels: 745783312, freq: 2402.546875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 6, datasquaresum: 60168, highlight: 0 
signal: -127.230629, pixels: 745783312, freq: 2402.890625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 6, datasquaresum: 60168, highlight: 0 
signal: -125.891693, pixels: 745783312, freq: 2403.234375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 7, datasquaresum: 60168, highlight: 0 
signal: -117.218582, pixels: 745783312, freq: 2403.578125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 19, datasquaresum: 60168, highlight: 0 
signal: -110.972366, pixels: 745783312, freq: 2403.921875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 39, datasquaresum: 60168, highlight: 0 
