result: freq 2412 rssi 000, noise -95, max_magnitude 0160 max_index 029 bitmap_weight 008 tsf 344558514918 | datamax = 4096, datamin = 4, datasquaresum = 52600
signal: -111.839584, pixels: -2036867056, freq: 2415.953125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 33, datasquaresum: 52600, highlight: 1 
signal: -114.605637, pixels: -2036867056, freq: 2416.296875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 24, datasquaresum: 52600, highlight: 1 
signal: -116.634781, pixels: -2036867056, freq: 2416.640625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 19, datasquaresum: 52600, highlight: 1 
signal: -117.600876, pixels: -2036867056, freq: 2416.984375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 17, datasquaresum: 52600, highlight: 1 
signal: -113.266693, pixels: -2036867056, freq: 2417.328125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 28, datasquaresum: 52600, highlight: 1 
signal: -111.839584, pixels: -2036867056, freq: 2417.671875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 33, datasquaresum: 52600, highlight: 1 
signal: -112.667435, pixels: -2036867056, freq: 2418.015625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 30, datasquaresum: 52600, highlight: 1 
signal: -109.954178, pixels: -2036867056, freq: 2418.359375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 41, datasquaresum: 52600, highlight: 1 
signal: -111.580276, pixels: -2036867056, freq: 2418.703125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 34, datasquaresum: 52600, highlight: 1 
signal: -111.839584, pixels: -2036867056, freq: 2419.046875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 33, datasquaresum: 52600, highlight: 1 
signal: -117.600876, pixels: -2036867056, freq: 2419.390625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 17, datasquaresum: 52600, highlight: 1 
signal: -107.724342, pixels: -2036867056, freq: 2419.734375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 53, datasquaresum: 52600, highlight: 1 
signal: -114.975296, pixels: -2036867056, freq: 2420.078125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 23, datasquaresum: 52600, highlight: 1 
signal: -106.503265, pixels: -2036867056, freq: 2420.421875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 61, datasquaresum: 52600, highlight: 1 
signal: -118.127457, pixels: -2036867056, freq: 2420.765625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 16, datasquaresum: 52600, highlight: 1 
signal: -111.580276, pixels: -2036867056, freq: 2421.109375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 34, datasquaresum: 52600, highlight: 1 
signal: -120.626236, pixels: -2036867056, freq: 2421.453125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 12, datasquaresum: 52600, highlight: 1 
signal: -115.799469, pixels: -2036867056, freq: 2402.546875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 21, datasquaresum: 42110, highlight: 0 
signal: -118.722031, pixels: -2036867056, freq: 2402.890625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 15, datasquaresum: 42110, highlight: 0 
signal: -111.873581, pixels: -2036867056, freq: 2403.234375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 33, datasquaresum: 42110, highlight: 0 
signal: -116.668777, pixels: -2036867056, freq: 2403.578125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 19, datasquaresum: 42110, highlight: 0 
signal: -117.634872, pixels: -2036867056, freq: 2403.921875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 17, datasquaresum: 42110, highlight: 0 
signal: -117.138397, pixels: -2036867056, freq: 2404.265625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 18, datasquaresum: 42110, highlight: 0 
signal: -118.161453, pixels: -2036867056, freq: 2404.609375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 16, datasquaresum: 42110, highlight: 0 
signal: -111.873581, pixels: -2036867056, freq: 2404.953125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 33, datasquaresum: 42110, highlight: 0 
signal: -142.243851, pixels: -2036867056, freq: 2405.296875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 1, datasquaresum: 42110, highlight: 0 
signal: -109.778870, pixels: -2036867056, freq: 2405.640625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 42, datasquaresum: 42110, highlight: 0 
signal: -114.639633, pixels: -2036867056, freq: 2405.984375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 24, datasquaresum: 42110, highlight: 0 
signal: -118.722031, pixels: -2036867056, freq: 2406.328125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 15, datasquaresum: 42110, highlight: 0 
signal: -113.616577, pixels: -2036867056, freq: 2406.671875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 27, datasquaresum: 42110, highlight: 0 
signal: -117.634872, pixels: -2036867056, freq: 2407.015625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 17, datasquaresum: 42110, highlight: 0 
signal: -111.362488, pixels: -2036867056, freq: 2407.359375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 35, datasquaresum: 42110, highlight: 0 
signal: -114.639633, pixels: -2036867056, freq: 2407.703125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 24, datasquaresum: 42110, highlight: 0 
signal: -117.634872, pixels: -2036867056, freq: 2408.046875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 17, datasquaresum: 42110, highlight: 0 
signal: -111.873581, pixels: -2036867056, freq: 2408.390625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 33, datasquaresum: 42110, highlight: 0 
signal: -116.223251, pixels: -2036867056, freq: 2408.734375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 20, datasquaresum: 42110, highlight: 0 
signal: -107.758339, pixels: -2036867056, freq: 2409.078125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 53, datasquaresum: 42110, highlight: 0 
signal: -121.416000, pixels: -2036867056, freq: 2409.421875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 11, datasquaresum: 42110, highlight: 0 
signal: -114.285049, pixels: -2036867056, freq: 2409.765625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 25, datasquaresum: 42110, highlight: 0 
signal: -115.395401, pixels: -2036867056, freq: 2410.109375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 22, datasquaresum: 42110, highlight: 0 
signal: -111.873581, pixels: -2036867056, freq: 2410.453125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 33, datasquaresum: 42110, highlight: 0 
signal: -113.944382, pixels: -2036867056, freq: 2410.796875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 26, datasquaresum: 42110, highlight: 0 
signal: -106.826813, pixels: -2036867056, freq: 2411.140625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 59, datasquaresum: 42110, highlight: 0 
signal: -114.639633, pixels: -2036867056, freq: 2411.484375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 24, datasquaresum: 42110, highlight: 0 
signal: -114.639633, pixels: -2036867056, freq: 2411.828125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 24, datasquaresum: 42110, highlight: 0 
signal: -115.395401, pixels: -2036867056, freq: 2412.171875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 22, datasquaresum: 42110, highlight: 0 
signal: -115.799469, pixels: -2036867056, freq: 2412.515625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 21, datasquaresum: 42110, highlight: 0 
signal: -113.944382, pixels: -2036867056, freq: 2412.859375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 26, datasquaresum: 42110, highlight: 0 
signal: -117.138397, pixels: -2036867056, freq: 2413.203125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 18, datasquaresum: 42110, highlight: 0 
signal: -118.722031, pixels: -2036867056, freq: 2413.546875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 15, datasquaresum: 42110, highlight: 0 
signal: -124.182053, pixels: -2036867056, freq: 2413.890625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 8, datasquaresum: 42110, highlight: 0 
signal: -113.944382, pixels: -2036867056, freq: 2414.234375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 26, datasquaresum: 42110, highlight: 0 
signal: -126.680832, pixels: -2036867056, freq: 2414.578125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 6, datasquaresum: 42110, highlight: 0 
signal: -119.321289, pixels: -2036867056, freq: 2414.921875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 14, datasquaresum: 42110, highlight: 0 
signal: -115.009293, pixels: -2036867056, freq: 2415.265625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 23, datasquaresum: 42110, highlight: 0 
signal: -107.758339, pixels: -2036867056, freq: 2415.609375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 53, datasquaresum: 42110, highlight: 0 
signal: -111.362488, pixels: -2036867056, freq: 2415.953125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 35, datasquaresum: 42110, highlight: 0 
signal: -124.182053, pixels: -2036867056, freq: 2416.296875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 8, datasquaresum: 42110, highlight: 0 
signal: -118.722031, pixels: -2036867056, freq: 2416.640625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 15, datasquaresum: 42110, highlight: 0 
signal: -113.616577, pixels: -2036867056, freq: 2416.984375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 27, datasquaresum: 42110, highlight: 0 
signal: -112.701431, pixels: -2036867056, freq: 2417.328125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 30, datasquaresum: 42110, highlight: 0 
signal: -118.161453, pixels: -2036867056, freq: 2417.671875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 16, datasquaresum: 42110, highlight: 0 
signal: -121.416000, pixels: -2036867056, freq: 2418.015625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 11, datasquaresum: 42110, highlight: 0 
signal: -124.182053, pixels: -2036867056, freq: 2418.359375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 8, datasquaresum: 42110, highlight: 0 
signal: -107.126358, pixels: -2036867056, freq: 2418.703125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 57, datasquaresum: 42110, highlight: 0 
signal: -114.285049, pixels: -2036867056, freq: 2419.046875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 25, datasquaresum: 42110, highlight: 0 
signal: -108.619034, pixels: -2036867056, freq: 2419.390625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 48, datasquaresum: 42110, highlight: 0 
signal: -113.300690, pixels: -2036867056, freq: 2419.734375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 28, datasquaresum: 42110, highlight: 0 
signal: -119.321289, pixels: -2036867056, freq: 2420.078125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 14, datasquaresum: 42110, highlight: 0 
signal: -112.995895, pixels: -2036867056, freq: 2420.421875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 29, datasquaresum: 42110, highlight: 0 
signal: -112.995895, pixels: -2036867056, freq: 2420.765625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 29, datasquaresum: 42110, highlight: 0 
signal: -118.161453, pixels: -2036867056, freq: 2421.109375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 16, datasquaresum: 42110, highlight: 0 
signal: -111.117798, pixels: -2036867056, freq: 2421.453125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 36, datasquaresum: 42110, highlight: 0 
signal: -125.315613, pixels: -2036867056, freq: 2402.546875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 8, datasquaresum: 54669, highlight: 0 
signal: -125.315613, pixels: -2036867056, freq: 2402.890625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 8, datasquaresum: 54669, highlight: 0 
signal: -121.793785, pixels: -2036867056, freq: 2403.234375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 12, datasquaresum: 54669, highlight: 0 
