result: freq 2412 rssi 000, noise -95, max_magnitude 0103 max_index 029 bitmap_weight 034 tsf 1781255871 | datamax = 3969, datamin = 25, datasquaresum = 62420
signal: -108.467728, pixels: 1548898320, freq: 2415.953125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 53, datasquaresum: 62420, highlight: 1 
signal: -116.508858, pixels: 1548898320, freq: 2416.296875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 21, datasquaresum: 62420, highlight: 1 
signal: -112.850243, pixels: 1548898320, freq: 2416.640625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 32, datasquaresum: 62420, highlight: 1 
signal: -116.508858, pixels: 1548898320, freq: 2416.984375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 21, datasquaresum: 62420, highlight: 1 
signal: -114.994438, pixels: 1548898320, freq: 2417.328125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 25, datasquaresum: 62420, highlight: 1 
signal: -124.891441, pixels: 1548898320, freq: 2417.671875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 8, datasquaresum: 62420, highlight: 1 
signal: -118.870842, pixels: 1548898320, freq: 2418.015625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 16, datasquaresum: 62420, highlight: 1 
signal: -108.305367, pixels: 1548898320, freq: 2418.359375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 54, datasquaresum: 62420, highlight: 1 
signal: -117.847786, pixels: 1548898320, freq: 2418.703125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 18, datasquaresum: 62420, highlight: 1 
signal: -115.349014, pixels: 1548898320, freq: 2419.046875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 24, datasquaresum: 62420, highlight: 1 
signal: -114.994438, pixels: 1548898320, freq: 2419.390625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 25, datasquaresum: 62420, highlight: 1 
signal: -126.051277, pixels: 1548898320, freq: 2419.734375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 7, datasquaresum: 62420, highlight: 1 
signal: -115.718681, pixels: 1548898320, freq: 2420.078125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 23, datasquaresum: 62420, highlight: 1 
signal: -117.847786, pixels: 1548898320, freq: 2420.421875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 18, datasquaresum: 62420, highlight: 1 
signal: -115.349014, pixels: 1548898320, freq: 2420.765625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 24, datasquaresum: 62420, highlight: 1 
signal: -120.674370, pixels: 1548898320, freq: 2421.109375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 13, datasquaresum: 62420, highlight: 1 
signal: -107.684677, pixels: 1548898320, freq: 2421.453125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 58, datasquaresum: 62420, highlight: 1 
signal: -114.818344, pixels: 1548898320, freq: 2402.546875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 31, datasquaresum: 58151, highlight: 0 
signal: -119.540115, pixels: 1548898320, freq: 2402.890625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 18, datasquaresum: 58151, highlight: 0 
signal: -116.686768, pixels: 1548898320, freq: 2403.234375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 25, datasquaresum: 58151, highlight: 0 
signal: -114.015991, pixels: 1548898320, freq: 2403.578125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 34, datasquaresum: 58151, highlight: 0 
signal: -110.160057, pixels: 1548898320, freq: 2403.921875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 53, datasquaresum: 58151, highlight: 0 
signal: -123.817719, pixels: 1548898320, freq: 2404.265625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 11, datasquaresum: 58151, highlight: 0 
signal: -124.645569, pixels: 1548898320, freq: 2404.609375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 10, datasquaresum: 58151, highlight: 0 
signal: -111.976196, pixels: 1548898320, freq: 2404.953125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 43, datasquaresum: 58151, highlight: 0 
signal: -114.818344, pixels: 1548898320, freq: 2405.296875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 31, datasquaresum: 58151, highlight: 0 
signal: -116.346100, pixels: 1548898320, freq: 2405.640625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 26, datasquaresum: 58151, highlight: 0 
signal: -112.604370, pixels: 1548898320, freq: 2405.984375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 40, datasquaresum: 58151, highlight: 0 
signal: -115.702408, pixels: 1548898320, freq: 2406.328125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 28, datasquaresum: 58151, highlight: 0 
