result: freq 2412 rssi -02, noise -95, max_magnitude 0096 max_index 029 bitmap_weight 033 tsf 2416556619 | datamax = 3600, datamin = 49, datasquaresum = 57279
signal: -115.037529, pixels: 122466320, freq: 2416.296875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 30, datasquaresum: 57279, highlight: 1 
signal: -120.497559, pixels: 122466320, freq: 2416.640625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 16, datasquaresum: 57279, highlight: 1 
signal: -109.311401, pixels: 122466320, freq: 2416.984375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 58, datasquaresum: 57279, highlight: 1 
signal: -121.058128, pixels: 122466320, freq: 2417.328125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 15, datasquaresum: 57279, highlight: 1 
signal: -112.984283, pixels: 122466320, freq: 2417.671875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 38, datasquaresum: 57279, highlight: 1 
signal: -115.331993, pixels: 122466320, freq: 2418.015625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 29, datasquaresum: 57279, highlight: 1 
signal: -117.345398, pixels: 122466320, freq: 2418.359375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 23, datasquaresum: 57279, highlight: 1 
signal: -113.215919, pixels: 122466320, freq: 2418.703125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 37, datasquaresum: 57279, highlight: 1 
signal: -113.453903, pixels: 122466320, freq: 2419.046875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 36, datasquaresum: 57279, highlight: 1 
signal: -114.752724, pixels: 122466320, freq: 2419.390625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 31, datasquaresum: 57279, highlight: 1 
signal: -123.752106, pixels: 122466320, freq: 2419.734375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 11, datasquaresum: 57279, highlight: 1 
signal: -119.474503, pixels: 122466320, freq: 2420.078125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 18, datasquaresum: 57279, highlight: 1 
signal: -118.559357, pixels: 122466320, freq: 2420.421875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 20, datasquaresum: 57279, highlight: 1 
signal: -119.004883, pixels: 122466320, freq: 2420.765625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 19, datasquaresum: 57279, highlight: 1 
signal: -119.004883, pixels: 122466320, freq: 2421.109375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 19, datasquaresum: 57279, highlight: 1 
signal: -116.280487, pixels: 122466320, freq: 2421.453125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 26, datasquaresum: 57279, highlight: 1 
signal: -119.207138, pixels: 122466320, freq: 2402.546875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 17, datasquaresum: 48041, highlight: 0 
signal: -129.836716, pixels: 122466320, freq: 2402.890625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 5, datasquaresum: 48041, highlight: 0 
signal: -117.371735, pixels: 122466320, freq: 2403.234375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 21, datasquaresum: 48041, highlight: 0 
signal: -115.516647, pixels: 122466320, freq: 2403.578125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 26, datasquaresum: 48041, highlight: 0 
signal: -118.241043, pixels: 122466320, freq: 2403.921875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 19, datasquaresum: 48041, highlight: 0 
signal: -121.537247, pixels: 122466320, freq: 2404.265625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 13, datasquaresum: 48041, highlight: 0 
signal: -123.816116, pixels: 122466320, freq: 2404.609375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 10, datasquaresum: 48041, highlight: 0 
signal: -117.795517, pixels: 122466320, freq: 2404.953125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 20, datasquaresum: 48041, highlight: 0 
signal: -119.733719, pixels: 122466320, freq: 2405.296875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 16, datasquaresum: 48041, highlight: 0 
signal: -111.774918, pixels: 122466320, freq: 2405.640625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 40, datasquaresum: 48041, highlight: 0 
signal: -111.560440, pixels: 122466320, freq: 2405.984375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 41, datasquaresum: 48041, highlight: 0 
signal: -114.872955, pixels: 122466320, freq: 2406.328125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 28, datasquaresum: 48041, highlight: 0 
signal: -109.168243, pixels: 122466320, freq: 2406.671875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 54, datasquaresum: 48041, highlight: 0 
signal: -120.893555, pixels: 122466320, freq: 2407.015625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 14, datasquaresum: 48041, highlight: 0 
signal: -116.967667, pixels: 122466320, freq: 2407.359375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 22, datasquaresum: 48041, highlight: 0 
signal: -111.146744, pixels: 122466320, freq: 2407.703125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 43, datasquaresum: 48041, highlight: 0 
signal: -122.988266, pixels: 122466320, freq: 2408.046875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 11, datasquaresum: 48041, highlight: 0 
